"workerId","condition","batch","counterbalance","totalBonus","duration","numeracy","bet","bonus","cles","groundTruth","keep","outcome","pay","respTime","sdDiff","startTime","trial","trialDur","trialIdx","win","repaired"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1000,0.0534444444444444,54,0.945,0,"True",890.740740740741,1550019176.502,5,1550019150.849,1,25.6530001163483,18,890.740740740741,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450103846153846,55,0.975,749.25,"True",750.173076923077,1550019202.282,5,1550019189.506,2,12.7760000228882,19,0.923076923076923,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450160859728507,53,0.884,749.25,"True",750.268099547511,1550019220.87,5,1550019214.65,3,6.21999979019165,17,1.01809954751131,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.045045,48,0.025,750.75,"False",750.75,1550019230.271,1,1550019224.311,4,5.95999979972839,0,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,100,0.0474948186528497,52,0.772,675,"True",791.580310880829,1550019240.586,5,1550019232.968,5,7.61800003051758,16,116.580310880829,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,48,0.055,749.25,"False",749.25,1550019257.695,1,1550019244.484,6,13.2109999656677,1,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,51,0.6,749.25,"False",749.25,1550019264.643,5,1550019260.369,7,4.2739999294281,15,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0454205172413793,49,0.116,749.25,"True",757.008620689655,1550019270.963,1,1550019266.469,8,4.49399995803833,2,7.75862068965517,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.04509,48,0.4,749.25,"True",751.5,1550019279.884,5,1550019273.257,9,6.62700009346008,14,2.25,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,49,0.228,749.25,"False",749.25,1550019288.58,1,1550019284.295,10,4.28499984741211,3,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.045045,47,0.228,750.75,"False",750.75,1550019296.58,5,1550019291.584,11,4.99599981307983,13,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,50,0.4,749.25,"False",749.25,1550019304.356,1,1550019298.176,12,6.17999982833862,4,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,46,0.116,749.25,"False",749.25,1550019309.42611,5,1550019306.459,13,2.96711087226868,12,0,"True"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,50,0.6,749.25,"False",749.25,1550019316.746,1,1550019313.369,14,3.37700009346008,5,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,46,0.055,749.25,"False",749.25,1550019325.35,5,1550019318.873,15,6.47699999809265,11,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450249481865285,50,0.772,749.25,"True",750.415803108808,1550019330.786,1,1550019327.424,16,3.36199998855591,6,1.16580310880829,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.044955,45,0.025,749.25,"False",749.25,1550019337.732,5,1550019332.809,17,4.92300009727478,10,0,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450160859728507,51,0.884,749.25,"True",750.268099547511,1550019343.016,1,1550019339.678,18,3.33800005912781,7,1.01809954751131,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450103846153846,52,0.975,749.25,"True",750.173076923077,1550019348.343,1,1550019344.82,19,3.52300000190735,9,0.923076923076923,"False"
"ce19d2de","means_only",3,18,0.911269812558815,299.601999998093,10,1,0.0450121428571429,51,0.945,749.25,"True",750.202380952381,1550019356.775,1,1550019350.093,20,6.68200016021729,8,0.952380952380953,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0534444444444444,80,0.945,0,"True",890.740740740741,1550022204.374,5,1550022177.243,1,27.1310000419617,18,890.740740740741,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0520769230769231,90,0.975,0,"True",867.948717948718,1550022227.236,5,1550022207.812,2,19.4240000247955,19,867.948717948718,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0565113122171946,95,0.884,0,"True",941.855203619909,1550022246.779,5,1550022232.505,3,14.2739999294281,17,941.855203619909,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,500,0.0225,10,0.025,375,"False",375,1550022269.235,1,1550022249.364,4,19.8709998130798,0,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0634041450777202,80,0.772,0,"True",1056.73575129534,1550022287.884,5,1550022273.851,5,14.0329999923706,16,1056.73575129534,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1,0.044955,5,0.055,749.25,"False",749.25,1550022338.522,1,1550022309.306,6,29.2160000801086,1,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,800,0.045045,70,0.6,750.75,"False",750.75,1550022356.53,5,1550022341.251,7,15.279000043869,15,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,500,0.0225,35,0.116,375,"False",375,1550022381.599,1,1550022360.617,8,20.981999874115,2,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1,0.044955,20,0.4,749.25,"False",749.25,1550022412.198,5,1550022384.152,9,28.0460000038147,14,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1,0.044955,0,0.228,749.25,"False",749.25,1550022427.067,1,1550022415.357,10,11.7099997997284,3,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1,0.0451918421052632,20,0.228,749.25,"True",753.197368421053,1550022446.572,5,1550022429.709,11,16.8629999160767,13,3.94736842105263,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,500,0.084,40,0.4,375,"True",1400,1550022472.329,1,1550022455.181,12,17.1480000019073,4,1025,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1,0.044955,15,0.116,749.25,"False",749.25,1550022491.406,5,1550022475.099,13,16.3069999217987,12,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,750,0.07275,50,0.6,187.5,"True",1212.5,1550022508.767,1,1550022493.92,14,14.8469998836517,5,1025,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,500,0.1275,10,0.055,375,"True",2125,1550022526.912,5,1550022511.202,15,15.710000038147,11,1750,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0634041450777202,80,0.772,0,"True",1056.73575129534,1550022551.211,1,1550022530.614,16,20.5969998836517,6,1056.73575129534,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,500,0.0225,0,0.025,375,"False",375,1550022570.014,5,1550022556.976,17,13.0379998683929,10,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.045045,80,0.884,750.75,"True",750.75,1550022587.754,1,1550022572.613,18,15.1410000324249,7,0,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0520769230769231,80,0.975,0,"True",867.948717948718,1550022606.832,1,1550022590.053,19,16.779000043869,9,867.948717948718,"False"
"1a0db9c6","HOPs",3,18,1.06121417952063,688.774000167847,10,1000,0.0534444444444444,100,0.945,0,"True",890.740740740741,1550022623.915,1,1550022610.29,20,13.625,8,890.740740740741,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,400,0.045045,51,0.6,750.75,"False",750.75,1550066056.5,1,1550065984.992,1,71.5079998970032,5,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,400,0.0548704663212435,55,0.772,450,"True",914.507772020725,1550066087.763,1,1550066067.293,2,20.4700000286102,6,464.507772020725,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,500,0.084,50,0.4,375,"True",1400,1550066136.927,1,1550066097.232,3,39.6949999332428,4,1025,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,600,0.018,55,0.884,300,"False",300,1550066168.604,1,1550066142.538,4,26.0659999847412,7,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,400,0.027,45,0.228,450,"False",450,1550066188.54,1,1550066176.813,5,11.7269999980927,3,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,600,0.0514761904761905,60,0.945,300,"True",857.936507936508,1550066237.056,1,1550066194.903,6,42.1529998779297,8,557.936507936508,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,300,0.0315,45,0.116,525,"False",525,1550066257.48,1,1550066244.987,7,12.4930000305176,2,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,700,0.0509615384615385,60,0.975,225,"True",849.358974358974,1550066296.40094,1,1550066261.37,8,35.0309443473816,9,624.358974358974,"True"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1,0.044955,45,0.055,749.25,"False",749.25,1550066320.204,1,1550066303.791,9,16.4130001068115,1,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1,0.045045,20,0.025,750.75,"False",750.75,1550066345.105,5,1550066329.204,10,15.9010000228882,10,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1,0.044955,45,0.025,749.25,"False",749.25,1550066372.32,1,1550066349.547,11,22.7730000019073,0,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1,0.044955,30,0.055,749.25,"False",749.25,1550066388.64,5,1550066377.938,12,10.7020001411438,11,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1000,0.0520769230769231,70,0.975,0,"True",867.948717948718,1550066413.243,5,1550066392.153,13,21.0899999141693,19,867.948717948718,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1,0.044955,30,0.116,749.25,"False",749.25,1550066426.691,5,1550066417.282,14,9.40899991989136,12,0,"False"
"f2b7e0c3","means_only",5,5,0.905532717102797,765.808000087738,10,1000,0.0534444444444444,70,0.945,0,"True",890.740740740741,1550066454.01,5,1550066430.687,15,23.3229999542236,18,890.740740740741,"False"
