"workerId","batch","condition","baseline","award_value","exchange","start_means","total_bonus","duration","numeracy","gender","age","education","chart_use","accountValue","groundTruth","intervene","outcome","pAwardCurrent","pAwardNew","pAwardWith","pAwardWithout","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",71.75,0.622,1,"False",NA,NA,0.6691917,0.5,50,-1,1567441990.93,1567441986.603,"7",4.3270001411438,"2"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",73,0.999,1,"True",NA,NA,0.9999938,0.5,65,1.25,1567442000.199,1567441996.051,"8",4.14799976348877,"15"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",74.25,0.784,1,"True",NA,NA,0.8665552,0.5,60,1.25,1567442007.682,1567442003.736,"9",3.94599986076355,"4"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",75.5,0.8,1,"True",NA,NA,0.8830224,0.5,60,1.25,1567442014.87,1567442010.97,"10",3.89999985694885,"5"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",76.75,0.963,1,"True",NA,NA,0.9943283,0.5,70,1.25,1567442022.291,1567442018.191,"11",4.09999990463257,"13"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",78,0.84,1,"True",NA,NA,0.9200053,0.5,65,1.25,1567442045.652,1567442041.167,"12",4.48499989509583,"6"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",77,0.525,1,"False",NA,NA,0.5353322,0.5,50,-1,1567442052.38,1567442048.644,"13",3.73600006103516,"1"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",78.25,0.9,1,"True",NA,NA,0.9650368,0.5,65,1.25,1567442059.964,1567442056.215,"14",3.74900007247925,"10"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",79.5,0.889,1,"True",NA,NA,0.9578718,0.5,60,1.25,1567442066.735,1567442062.838,"15",3.89699983596802,"9"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",80.75,0.889,1,"True",NA,NA,0.9578718,0.5,60,1.25,1567442102.296,1567442096.37,"16",5.92600011825562,"9"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",82,0.784,1,"True",NA,NA,0.8665552,0.5,55,1.25,1567442112.32,1567442108.22,"17",4.09999990463257,"4"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",82,0.622,0,"False",NA,NA,0.6691917,0.5,50,0,1567442122.987,1567442117.358,"18",5.62899994850159,"2"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",83.25,0.873,1,"True",NA,NA,0.9465786,0.5,60,1.25,1567442133.638,1567442129.69,"19",3.94799995422363,"8"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",84.5,0.8,1,"True",NA,NA,0.8830224,0.5,55,1.25,1567442142.552,1567442137.854,"20",4.69799995422363,"5"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",85.75,0.843,1,"True",NA,NA,0.9231176,0.5,60,1.25,1567442343.487,1567442145.959,"21",197.52799987793,"7"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",87,0.946,1,"True",NA,NA,0.9886527,0.5,75,1.25,1567442351.759,1567442347.351,"22",4.40799999237061,"12"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",84.75,0.5,0,"False",NA,NA,0.5,0.5,50,-2.25,1567442360.162,1567442355.258,"23",4.90400004386902,"0"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",83.75,0.84,1,"False",NA,NA,0.9200053,0.5,65,-1,1567442373.654,1567442364.661,"24",8.99300003051758,"6"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",85,0.922,1,"True",NA,NA,0.9778051,0.5,70,1.25,1567442393.277,1567442379.292,"25",13.9849998950958,"11"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",86.25,0.963,1,"True",NA,NA,0.9943283,0.5,75,1.25,1567442406.816,1567442397.713,"26",9.1029999256134,"13"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",87.5,0.975,1,"True",NA,NA,0.9972127,0.5,75,1.25,1567442417.143,1567442410.78,"27",6.36299991607666,"14"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",89.75,0.525,0,"True",NA,NA,0.5353322,0.5,50,2.25,1567442430.265,1567442420.904,"28",9.36100006103516,"1"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",91,0.9,1,"True",NA,NA,0.9650368,0.5,70,1.25,1567442443.081,1567442434.932,"29",8.14900016784668,"10"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",93.25,0.709,0,"True",NA,NA,0.7822155,0.5,60,2.25,1567442458.255,1567442446.946,"30",11.3090000152588,"3"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",66.5,0.5,1,"True",0.5,0.5,NA,NA,80,-1,1567441861.575,1567441850.398,"mock",11.1770000457764,"mock"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",68.75,0.999,1,"True",NA,NA,0.9999938,0.5,80,1.25,1567441910.545,1567441870.571,"practice1",39.9739999771118,"practice"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",68.75,0.999,1,"True",NA,NA,0.9999938,0.5,75,1.25,1567442092.618,1567442075.074,"practice2",17.5440001487732,"practice"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",68.75,0.889,1,"True",NA,NA,0.9578718,0.5,60,1.25,1567359072.375,1567359041.024,"1",31.3510000705719,"9"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",70,0.709,1,"True",NA,NA,0.7822155,0.5,50,1.25,1567359090.899,1567359076.522,"2",14.3769998550415,"3"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",70,0.622,0,"False",NA,NA,0.6691917,0.5,30,0,1567359111.244,1567359095.305,"3",15.9389998912811,"2"
