"workerId","batch","condition","baseline","contract_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","companyValue","groundTruth","intervene","outcome","pContractNew","pContractOld","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",58,0.46,0,"True",0.5561041,0.5,35,0,1563991435.824,1563991429.488,"17",6.33599996566772,"11"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",55.75,0.383,0,"False",0.6634073,0.5,35,-2.25,1563991444.442,1563991439.107,"18",5.33499979972839,"10"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",54.75,0.063,1,"True",0.9849753,0.5,10,-1,1563991452.831,1563991448.259,"19",4.57200002670288,"3"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",53.75,0.034,1,"True",0.9950576,0.5,15,-1,1563991462.304,1563991455.263,"20",7.04099988937378,"1"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",52.75,0.046,1,"True",0.9913263,0.5,30,-1,1563991470.749,1563991464.853,"21",5.89600014686584,"2"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",51.75,0.112,1,"True",0.9572658,0.5,15,-1,1563991482.431,1563991474.538,"22",7.89299988746643,"5"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",50.75,0.148,1,"True",0.9304679,0.5,20,-1,1563991504.737,1563991499.777,"23",4.96000003814697,"6"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",50.75,0.193,0,"True",0.8903388,0.5,40,0,1563991513.946,1563991507.692,"24",6.25400018692017,"7"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",52.25,0.6,1,"True",0.9774189,0.95,50,1.25,1563991162.889,1563991121.105,"practice1",41.7839999198914,"practice"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",50,0.4,1,"True",0.9774189,0.95,20,-1,1563991376.499,1563991342.862,"practice2",33.6370000839233,"practice"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",52.25,0.807,1,"True",0.8903388,0.5,60,1.25,1563924226.148,1563924211.363,"1",14.7850000858307,"16"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",53.5,0.966,1,"True",0.9950576,0.5,75,1.25,1563924250.775,1563924235.31,"2",15.4650001525879,"22"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",52.5,0.54,1,"False",0.5561041,0.5,45,-1,1563924262.473,1563924255.638,"3",6.83500003814697,"12"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",53.75,0.916,1,"True",0.9743985,0.5,85,1.25,1563924274.194,1563924266.654,"4",7.53999996185303,"19"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",55,0.937,1,"True",0.9849753,0.5,95,1.25,1563924282.484,1563924277.7,"5",4.78399991989136,"20"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",54,0.753,1,"False",0.8333612,0.5,100,-1,1563924292.333,1563924285.797,"6",6.53600001335144,"15"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",55.25,0.937,1,"True",0.9849753,0.5,76,1.25,1563924301.267,1563924296.003,"7",5.26399993896484,"20"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",57.5,0.975,0,"True",0.9972127,0.5,55,2.25,1563924313.997,1563924304.911,"8",9.08599996566772,"23"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",59.75,0.954,0,"True",0.9913263,0.5,49,2.25,1563924334.064,1563924322.577,"9",11.4869999885559,"21"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",61,0.916,1,"True",0.9743985,0.5,25,1.25,1563924360.516,1563924341.386,"10",19.1300001144409,"19"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",62.25,0.888,1,"True",0.9572658,0.5,86,1.25,1563924377.469,1563924365.087,"11",12.382000207901,"18"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",62.25,0.689,0,"False",0.7574337,0.5,80,0,1563924394.416,1563924381.042,"12",13.3739998340607,"14"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",61.25,0.025,1,"True",0.9972127,0.5,50,-1,1563924444.926,1563924434.216,"13",10.710000038147,"0"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",60.25,0.148,1,"True",0.9304679,0.5,40,-1,1563924465.44,1563924454.299,"14",11.1410000324249,"6"
"323bcceb",1,"means_only",0.5,2.25,0.04803,"True",2.33,766.692000150681,11,"F","25-34","Bachelor's degree","Monthly or less",59.25,0.063,1,"True",0.9849753,0.5,15,-1,1563924475.473,1563924468.999,"15",6.47399997711182,"3"
