"workerId","batch","n_trials","n_data_conds","condition","baseline","es_threshold","start_means","award_value","starting_value","exchange","cutoff","max_bonus","total_bonus","duration","numeracy","gender","age","education","chart_use","difficulties","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","sdDiff","startTime","trial","trialDur","trialIdx"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",171.2,0.55,0,"False",0.57053,0.5,50,0,1569943517.299,5,1569943507.495,"30",9.80400013923645,"1"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",173.37,0.754,1,"True",0.83415,0.5,70,2.17,1569943534.966,5,1569943520.992,"31",13.9739999771118,"5"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",175.54,0.668,1,"True",0.73088,0.5,70,2.17,1569943549.56,15,1569943538.811,"32",10.7489998340607,"11"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",177.71,0.721,1,"True",0.79653,0.5,70,2.17,1569943571.149,5,1569943553.238,"33",17.9110000133514,"4"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",179.88,0.95,1,"True",0.99,0.5,100,2.17,1569943585.575,5,1569943574.918,"34",10.6570000648499,"8"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",110.95,0.5,0,"True",0.5,0.5,50,3.17,1569942895.753,5,1569942889.877,"mock",5.87599992752075,"mock"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",109.95,0.999,1,"True",0.9999938,0.5,100,2.17,1569942930.158,15,1569942914.066,"practice1",16.0920000076294,"practice"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",109.95,0.999,1,"True",0.9999938,0.5,100,2.17,1569943317.511,15,1569943289.544,"practice2",27.9670000076294,"practice"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",107.78,0.721,0,"False",0.79653,0.5,40,0,1569958931.178,5,1569958904.444,"1",26.7339999675751,"4"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",109.95,0.849,1,"True",0.92787,0.5,70,2.17,1569958942.058,15,1569958934.999,"2",7.05900001525879,"14"
